title,year,distributor,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
Heartbeeps,1981,Universal Pictures,2154696,-7845304,6111501.374262144,-22252134.95430645,775070.5035971224,10000000,28363636.328568593
The Legend of the Lone Ranger,1981,ITC Entertainment,2945600,-15054400,8354792.716943165,-42699752.674480304,1059568.345323741,18000000,51054545.39142347
Neighbors,1981,Columbia Pictures,29916207,21416207,84853241.5678178,60744150.6885345,10761225.539568346,8500000,24109090.879283305
Pennies from Heaven,1981,SLM Production Group,9171289,-12828711,26013110.586020153,-36386889.33683075,3299024.820143885,22000000,62399999.92285091
Private Lessons,1981,Jensen Farley Pictures,26279000,23479000,74536799.90784541,66594981.7358462,9452877.697841728,2800000,7941818.171999206
Ghost Ship,2002,Village Roadshow Pictures,68349884,33349884,97821852.29078752,47730109.19174198,11784462.75862069,35000000,50091743.09904554
Jackass: The Movie,2002,Paramount Pictures,64282312,59282312,92000373.10047692,84844409.80061327,11083157.241379311,5000000,7155963.299863649
Frida,2002,Miramax Films,56298474,44298474,80573962.75646557,63399650.836792804,9706633.448275862,12000000,17174311.919672757
I Spy,2002,Columbia Pictures Corporation,33561137,-36438863,48032452.934739195,-52151033.26335188,5786402.931034483,70000000,100183486.19809107
The Santa Clause 2,2002,Walt Disney Pictures,172855065,107855065,247388900.2671091,154361377.36888164,29802597.413793106,65000000,93027522.89822742
Femme Fatale,2002,Epsilon Motion Pictures,16838910,-18161090,24099724.3939414,-25992018.705104142,2903260.3448275863,35000000,50091743.09904554
8 Mile,2002,Imagine Entertainment,215000000,174000000,307706421.8941369,249027522.83525497,37068965.51724138,41000000,58678899.058881916
Far from Heaven,2002,Clear Blue Sky Productions,29027914,15527914,41544537.45111964,22223436.541487787,5004812.75862069,13500000,19321100.909631852
Harry Potter and the Chamber of Secrets,2002,1492 Pictures,876688482,776688482,1254710120.5210345,1111590854.5237615,151153186.55172414,100000000,143119265.99727297
Return to the Blue Lagoon,1991,Columbia Pictures Corporation,2807854,-8192146,5309396.653000902,-15490603.340948189,678225.6038647343,11000000,20799999.99394909
Scanners,1981,AVCO Embassy Pictures,14225876,10125876,40349757.3319312,28720666.437218085,5117221.582733814,4100000,11629090.894713124
Sphinx,1981,Orion Pictures,439564,-13560436,1246763.3439130925,-38462327.516082935,158116.54676258995,14000000,39709090.85999603
Die Another Day,2002,Eon Productions,431971116,291971116,618233890.5394286,417866918.1432464,74477778.62068966,140000000,200366972.39618215
Friday After Next,2002,New Line Cinema,33526835,13526835,47983360.164116815,19359506.96466222,5780488.793103448,20000000,28623853.199454594
The Quiet American,2002,Miramax Films,27674124,-2325876,39607003.13997516,-3328776.6592067326,4771400.689655173,30000000,42935779.79918189
Extreme Ops,2002,Paramount Pictures,10959475,-29040525,15685120.177154632,-41562586.22175456,1889564.655172414,40000000,57247706.39890919
